City,State,Long,Lat
Anaheim,CA,33.8366,-117.9143
Tucson,AZ,32.2226,-110.9747
Boston,MA,42.3601,-71.0589
Cape Cod,MA,41.6688,-70.2962
Spearfish,SD,44.4906,-103.8594
Pittsburgh,KS,37.4109,-94.7046
Orlando,FL,28.5383,-81.3792
Miami,FL,25.7617,-80.1918
Grand Junction,CO,39.0639,-108.5506
Moab,UT,38.5733,-109.5498
Dallas,TX,32.7767,-96.797
New York,NY,40.7128,-74.006
Hartford,CT,41.7658,-72.6734
Burlington,VT,44.4759,-73.2121
Montreal,QC,45.5017,-73.5673
Vail,CO,39.6403,-106.3742
Honolulu,HI,21.3069,-157.8583
Kona,HI,19.6397,-155.9969